Aircraft ID,Earliest Landing Time,Target Landing Time,Latest Landing Time,penalty cost per unit of time for landing before target,penalty cost per unit of time for landing after target,Size
0,129,155,559,10,10,3
1,190,250,732,10,10,3
2,84,93,501,30,30,2
3,89,98,509,30,30,2
4,100,111,536,30,30,2
5,107,120,552,30,30,2
6,109,121,550,30,30,1
7,109,120,544,30,30,1
8,115,128,557,30,30,1
9,134,151,610,30,30,1
10,266,341,837,10,10,1
11,251,313,778,10,10,3
12,160,181,674,30,30,2
13,152,171,637,30,30,3
14,276,342,815,10,10,1
